Ward Name,La Name,Ward Code,La Code,Value
Cathedral,Worcester,E07000237,E05007883,
Warndon Parish North,Worcester,E05007893,E07000237
Arboretum,Worcester,E05007880,E07000237
St Stephen,Worcester,E05007891,E07000237
Bedwardine,Worcester,E05007882,E07000237
St John,Worcester,E05007889,E07000237
St Clement,Worcester,E05007888,E07000237
Claines,Worcester,E05007884,E07000237
Rainbow Hill,Worcester,E05007887,E07000237
Warndon,Worcester,E05007892,E07000237
Nunnery,Worcester,E05007886,E07000237
Warndon Parish South,Worcester,E05007894,E07000237
Gorse Hill,Worcester,E05007885,E07000237
Battenhall,Worcester,E05007881,E07000237
St Peter's Parish,Worcester,E05007890,E07000237
