Ward Name,La Name,Ward Code,La Code,Value
Blakebrook & Habberley South,Wyre Forest,E07000239,E05010505,
Franche & Habberley North,Wyre Forest,E05010508,E07000239
Aggborough & Spennells,Wyre Forest,E05010502,E07000239
Foley Park & Hoobrook,Wyre Forest,E05010507,E07000239
Offmore & Comberton,Wyre Forest,E05010511,E07000239
Broadwaters,Wyre Forest,E05010506,E07000239
Wyre Forest Rural,Wyre Forest,E05010513,E07000239
Wribbenhall & Arley,Wyre Forest,E05010512,E07000239
Mitton,Wyre Forest,E05010510,E07000239
Lickhill,Wyre Forest,E05010509,E07000239
Bewdley & Rock,Wyre Forest,E05010504,E07000239
Areley Kings & Riverside,Wyre Forest,E05010503,E07000239
